Purpose,"This file documents the filenames for ASIST Study 3, and inventories the files and quality control issues.",,,,,,,,,,,,,,,,,,,
Author,Jared Freeman and the ASU team,,,,,,,,,,,,,,,,,,,
Use,TA3 revises and publishes this document as a csv when new data are transferred to the ASIST data repository.,,,,,,,,,,,,,,,,,,,
,TA1 & TA2 performers should use this worksheet to assess the state of data in the ASIST repository and to interpret file names.,,,,,,,,,,,,,,,,,,,
References,The master version of this document is here: https://docs.google.com/spreadsheets/d/1PTPVqQ6JUC9IcgSB6dF9tTPIiYukVmkP237MBNyJDBo/edit#gid=1324771064,,,,,,,,,,,,,,,,,,,
,Data described below are available on GCS here: https://console.cloud.google.com/storage/browser/studies.aptima.com/study-3_2022,,,,,,,,,,,,,,,,,,,
,The study to which these files pertain is documented here: https://docs.google.com/document/d/1GF7VsNF9R95IAaj6mVZUDV2mAX5ok1Bh6Tcm8zDpIkg/edit#heading=h.gjdgxs,,,,,,,,,,,,,,,,,,,
,The researchers' laboratory notebook (available only to TA3): https://docs.google.com/document/d/1KMxxbdkZbCTmJwkK9wfsDyyruU1MPrB1Evvl11AhXwg/edit#heading=h.v16ui0ddz6nv,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date Posted,Performer (Author),Valid,Condition ID,Agent Name,Team ID (significant issue in paranthese),Trial ID,Trial ID,Callsigns & Participant ID (UID),Map Order,Experiment Date,Experimenters,Notes,,,,,,,,
4/1/22,TA3,Yes,1,No Advisor,TM000202,T000603,T000604,Medic = E000649; Transporter = E000607; Engineer = E000651,A-B,3/30/22,"MC, XY","I just realized that people can learn about their teammates based on their line of questioning during training. We might want to address this. We might have spoonfed them too much information during the Q&A portion after the training slides. In the human advisor interface for this trial and five others (TM000202, TM000204, TM000205, TM000207, TM000210, TM000212), the video underneath the red heading (first in the row) is the Engineer’s view though the Engineer is associated with Blue, and the video underneath the blue heading (third in the row) is actually the Medic’s view (associated with Red). We will fix it by notifying the human advisor, and possibly by literally labelling the monitor or editing the video prior to human advisor training.",,,,,,,,
4/1/22,TA3,Yes,1,No Advisor,TM000203,T000605,T000606,Medic = E000683; Transporter = E000646; Engineer = E000665,A-B,3/30/22,"AT, MW","Used dev server.  All computers had mouse issue.  Transporter had it twice after disconnecting from parsec.  No other known issues.  Human advisor view was recorded using additional admin laptop. Green and Blue .wav files were not generated by the testbed for Training mission. 2 individual audio files for Transporter and Engineer in the hands-on training are missing, and that is indicated with these empty files: Missing_HSRData_ClientAudio_Trial-Training_Team-TM000203_Member-E000646_CondBtwn-none_CondWin-na_Vers-1.wav Missing_HSRData_ClientAudio_Trial-Training_Team-TM000203_Member-E000665_CondBtwn-none_CondWin-na_Vers-1.wav",,,,,,,,
4/1/22,TA3,Yes,1,No Advisor,TM000204,T000607,T000608,Medic = E000679; Transporter = E000656; Engineer = E000673,A-B,3/31/22,"JC, AC","Engineer stated that she was experiencing lack in M1 and M2 (around 1:50 on timer). ""was to the point where when she moved, it would not move at all, very slowly, hard to pick up blocks"" and break rubble. Client map took around 10 minutes to end M2 trial. AC refreshed the page and then started M2. When entering the server, it did not start right. Restarting M2 fixed this issue. As noted in : https://gitlab.asist.aptima.com/mwood/asist-data/-/issues/10: Engineer stated that she was experiencing lag in M1 and M2 (around 1:50 on timer). ""was to the point where when she moved, it would not move at all, very slowly, hard to pick up blocks"" and break rubble. The client map took around 10 minutes to end M1 trial. Admin refreshed the page and then started M2. When entering the server, it did not start right. Restarted M2 fixed this issue. In the human advisor interface for this trial and five others (TM000202, TM000204, TM000205, TM000207, TM000210, TM000212), the video underneath the red heading (first in the row) is the Engineer’s view though the Engineer is associated with Blue, and the video underneath the blue heading (third in the row) is actually the Medic’s view (associated with Red). We will fix it by notifying the human advisor, and possibly by literally labelling the monitor or editing the video prior to human advisor training.",,,,,,,,
